Ward_Name,Count,Percentage_Count
Yelchenahalli,1,0.0006764938675830903
Sudham Nagara,1,0.0006764938675830903
Jayanagar East,3,0.002029481602749271
Kammanahalli,3,0.002029481602749271
Gurappanapalya,4,0.0027059754703323614
Jaraganahalli,5,0.0033824693379154516
Bharathi Nagar,5,0.0033824693379154516
Dharmaraya Swamy Temple,7,0.004735457073081633
Chickpete,9,0.0060884448082478134
J P Nagar,11,0.007441432543413995
Madivala,11,0.007441432543413995
BTM Layout,15,0.010147408013746355
Sarakki,16,0.010823901881329446
Halsoor,17,0.011500395748912536
Vasanthpura,19,0.012853383484078718
Hemmigepura,27,0.01826533442474344
Sampangiram Nagar,38,0.025706766968157435
Vijnanapura,40,0.027059754703323613
Agaram,42,0.028412742438489794
Kacharkanahalli,56,0.037883656584653064
Jeevanbhima Nagar,67,0.045325089128067056
Jogupalya,70,0.04735457073081632
Benniganahalli,90,0.060884448082478136
Shantala Nagar,95,0.06426691742039357
Singasandra,96,0.06494341128797668
Banasavadi,104,0.0703553622286414
Ramamurthy Nagar,107,0.07238484383139067
HSR Layout,120,0.08117926410997084
K R Puram,140,0.09470914146163265
Hoysala Nagar,220,0.14882865086827987
Horamavu,240,0.16235852821994168
New Tippasandara,375,0.2536852003436589
Domlur,421,0.284803918252481
C V Raman Nagar,439,0.2969808078689766
Basavanapura,464,0.31389315455855393
Vijnana Nagar,490,0.3314819951157143
Konena Agrahara,1006,0.6805528307885889
Devasandra,1218,0.823969530716204
A Narayanapura,1321,0.8936483990772623
Marathahalli,2125,1.4375494686140668
HAL Airport,2255,1.5254936713998686
Other,3626,2.4529667638562858
Varthuru,4118,2.785801746707166
Garudachar Playa,5866,3.968313027242408
Bellanduru,8551,5.784699061703006
Dodda Nekkundi,11063,7.484051657071729
Hudi,11276,7.628144850866928
Kadugodi,15448,10.45047726642358
Hagadur,16255,10.996407817563133
other,59825,40.47124562815838
