Car/JeepVan(Private),Car/JeepVan(Taxi),3 Wheelers,Two Wheelers
694,120,110,2056
771,102,119,2234
532,43,87,1474
2171,394,246,2582
2187,408,249,2926
1884,435,205,2358
1011,81,187,3689
2461,493,352,6108
2776,368,308,5405
1848,278,234,4410
1731,95,187,4559
1493,103,162,3792
2558,153,1217,6864
3939,104,1955,8284
2816,282,1386,7375
4077,494,1898,11911
2558,283,1067,9784
2368,38,656,3521
2467,249,1435,9582
1667,166,867,7533
1565,163,901,3501
2191,136,1218,4683
930,316,671,3827
411,50,215,1875
688,48,339,3145
447,43,199,2533
957,133,247,1657
1914,295,399,3053
1279,115,210,2535
1076,502,545,6412
2340,202,565,4893
2604,140,618,4985
1814,300,480,4039
2109,247,706,5973
1791,139,561,6358
365,53,158,3050
334,90,173,3027
294,67,138,2025
396,104,726,9482
411,36,722,9569
125,36,334,2629
666,63,558,9587
531,62,315,6062
480,59,339,5165
351,95,336,4627
341,57,236,3005
140,62,196,1772
113,44,197,1766
703,40,643,3406
2733,560,1550,16332
2513,477,1358,15092
2733,479,1512,32574
1631,47,732,7241
2690,663,1624,19444
2490,477,1521,20012
2594,495,1643,19817
1621,130,1109,9583
2175,487,1351,15220
2397,315,1618,17480
2607,468,1676,14518
794,153,793,6828
1360,142,824,6881
797,140,762,6715
2430,288,1639,11939
2426,197,1662,16332
2731,291,1898,18167
2652,510,1837,15481
2488,273,1555,13511
2627,150,1745,13660
523,39,420,5201
610,57,408,5224
45,23,283,1192
70,29,515,2255
198,20,766,3583
219,43,940,4621
1505,90,941,6110
1166,222,631,4995
1761,258,835,7264
551,52,617,4359
507,61,676,4539
657,89,677,3742
561,130,739,4915
589,86,642,2004
539,72,900,2618
535,302,920,3627
538,291,994,4155
574,120,848,3682
719,28,1277,2179
755,44,1098,2018
744,19,1368,2152
2246,224,1862,3974
3153,225,2144,9445
1462,97,792,3893
1773,182,723,3986
1524,142,800,4544
2662,154,849,3770
2667,494,894,5286
2695,548,748,6767
375,33,461,1947
333,109,380,1985
378,58,386,1853
1125,75,526,3989
1325,152,619,4567
1357,107,1176,6676
1232,39,1016,6796
1171,62,961,6775
311,35,860,3769
